x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-365.4500E-06,+41.4573369E-03,+1.0973848436E+00,-100.5025115E-03,+1.9933483678E+00
-365.1125E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-364.7750E-06,+41.4573369E-03,+1.2230129871E+00,-102.5497849E-03,+1.9914648763E+00
-364.4375E-06,+41.4573369E-03,+1.3021121886E+00,-101.4330903E-03,+1.9910368101E+00
-364.1000E-06,+41.4573369E-03,+1.2230129871E+00,-104.5970583E-03,+1.9895813848E+00
-363.7625E-06,+41.4573369E-03,+1.3021121886E+00,-100.5025115E-03,+1.9918929426E+00
-363.4250E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9933483678E+00
-363.0875E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-362.7500E-06,+42.3879157E-03,+1.1997485161E+00,-100.9678009E-03,+1.9918929426E+00
-362.4125E-06,+45.5518836E-03,+1.1997485161E+00,-103.0150743E-03,+1.9937764341E+00
-362.0750E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9937764341E+00
-361.7375E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-361.4000E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9937764341E+00
-361.0625E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9933483678E+00
-360.7250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-360.3875E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9910368101E+00
-360.0500E-06,+40.5267581E-03,+1.1997485161E+00,-100.5025115E-03,+1.9891533186E+00
-359.7125E-06,+37.3627901E-03,+1.1997485161E+00,-100.5025115E-03,+1.9891533186E+00
-359.3750E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9891533186E+00
-359.0375E-06,+42.3879157E-03,+1.1997485161E+00,-102.0844955E-03,+1.9891533186E+00
-358.7000E-06,+45.5518836E-03,+1.1997485161E+00,-98.4552381E-03,+1.9891533186E+00
-358.3625E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9895813848E+00
-358.0250E-06,+40.5267581E-03,+1.2230129871E+00,-102.5497849E-03,+1.9914648763E+00
-357.6875E-06,+37.3627901E-03,+1.3021121886E+00,-100.5025115E-03,+1.9914648763E+00
-357.3500E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-357.0125E-06,+41.4573369E-03,+1.1764840451E+00,-103.0150743E-03,+1.9914648763E+00
-356.6750E-06,+41.4573369E-03,+1.0973848436E+00,-102.5497849E-03,+1.9918929426E+00
-356.3375E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9937764341E+00
-356.0000E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9937764341E+00
-355.6625E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-355.3250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9933483678E+00
-354.9875E-06,+40.5267581E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-354.6500E-06,+37.3627901E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-354.3125E-06,+41.4573369E-03,+1.2230129871E+00,-102.5497849E-03,+1.9918929426E+00
-353.9750E-06,+41.4573369E-03,+1.3021121886E+00,-100.5025115E-03,+1.9933483678E+00
-353.6375E-06,+41.4573369E-03,+1.1764840451E+00,-100.9678009E-03,+1.9914648763E+00
-353.3000E-06,+41.4573369E-03,+1.0741203725E+00,-102.0844955E-03,+1.9914648763E+00
-352.9625E-06,+41.4573369E-03,+1.0973848436E+00,-98.9205275E-03,+1.9914648763E+00
-352.6250E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-352.2875E-06,+41.4573369E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-351.9500E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9910368101E+00
-351.6125E-06,+41.4573369E-03,+1.1997485161E+00,-102.0844955E-03,+1.9891533186E+00
-351.2750E-06,+41.4573369E-03,+1.2230129871E+00,-97.9899487E-03,+1.9887252523E+00
-350.9375E-06,+42.3879157E-03,+1.3021121886E+00,-98.9205275E-03,+1.9872698271E+00
-350.6000E-06,+44.6213048E-03,+1.1997485161E+00,-101.6192061E-03,+1.9891533186E+00
-350.2625E-06,+37.3627901E-03,+1.1997485161E+00,-96.8732541E-03,+1.9895813848E+00
-349.9250E-06,+42.3879157E-03,+1.1997485161E+00,-102.5497849E-03,+1.9910368101E+00
-349.5875E-06,+45.5518836E-03,+1.1997485161E+00,-100.0372221E-03,+1.9895813848E+00
-349.2500E-06,+41.4573369E-03,+1.1997485161E+00,-98.4552381E-03,+1.9914648763E+00
-348.9125E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9918929426E+00
-348.5750E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9937764341E+00
-348.2375E-06,+40.5267581E-03,+1.1997485161E+00,-102.5497849E-03,+1.9937764341E+00
-347.9000E-06,+37.3627901E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-347.5625E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9933483678E+00
-347.2250E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9910368101E+00
-346.8875E-06,+41.4573369E-03,+1.1997485161E+00,-102.5497849E-03,+1.9895813848E+00
-346.5500E-06,+41.4573369E-03,+1.1997485161E+00,-99.5719327E-03,+1.9914648763E+00
-346.2125E-06,+41.4573369E-03,+1.1764840451E+00,-95.9426753E-03,+1.9914648763E+00
-345.8750E-06,+42.3879157E-03,+1.0973848436E+00,-97.9899487E-03,+1.9914648763E+00
-345.5375E-06,+45.5518836E-03,+1.2230129871E+00,-98.9205275E-03,+1.9914648763E+00
-345.2000E-06,+41.4573369E-03,+1.3021121886E+00,-103.0150743E-03,+1.9918929426E+00
-344.8625E-06,+40.5267581E-03,+1.1997485161E+00,-102.5497849E-03,+1.9933483678E+00
-344.5250E-06,+37.3627901E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-344.1875E-06,+41.4573369E-03,+1.1764840451E+00,-102.5497849E-03,+1.9918929426E+00
-343.8500E-06,+41.4573369E-03,+1.0973848436E+00,-100.5025115E-03,+1.9933483678E+00
