Model,MSO68B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-10,,Sample Interval,1.60000000e-10
Record Length,13750,,Record Length,13750
Zero Index,7287.21484375,,Zero Index,7287.21484375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,-2.580000,,yPosition,-3.620000

Labels,,
TIME,CH1,CH2
-1.12515438e-06,-4.51375000e-01,-1.40625000e-01
-1.12499437e-06,-4.64312500e-01,-1.97656250e-01
-1.12483437e-06,-4.78687500e-01,-3.18750000e-01
-1.12467437e-06,-4.94500000e-01,-3.73437500e-01
-1.12451437e-06,-5.11750000e-01,-3.67187500e-01
-1.12435437e-06,-5.29000000e-01,-3.06250000e-01
-1.12419437e-06,-5.46968750e-01,-2.46875000e-01
-1.12403438e-06,-5.64218750e-01,-1.74218750e-01
-1.12387437e-06,-5.80750000e-01,-6.48437500e-02
-1.12371437e-06,-5.97281250e-01,-8.04687500e-02
-1.12355437e-06,-6.11656250e-01,-2.37500000e-01
-1.12339437e-06,-6.24593750e-01,-2.72656250e-01
-1.12323437e-06,-6.35375000e-01,-2.00000000e-01
-1.12307437e-06,-6.44718750e-01,-1.64062500e-01
-1.12291438e-06,-6.51906250e-01,-1.57812500e-01
-1.12275437e-06,-6.58375000e-01,-1.72656250e-01
-1.12259437e-06,-6.64125000e-01,-1.86718750e-01
-1.12243437e-06,-6.69875000e-01,-1.77343750e-01
-1.12227437e-06,-6.75625000e-01,-1.41406250e-01
-1.12211437e-06,-6.81375000e-01,-1.57031250e-01
-1.12195437e-06,-6.86406250e-01,-2.55468750e-01
-1.12179438e-06,-6.90718750e-01,-3.42187500e-01
-1.12163437e-06,-6.93593750e-01,-3.32031250e-01
-1.12147437e-06,-6.94312500e-01,-3.07031250e-01
-1.12131437e-06,-6.92156250e-01,-3.28906250e-01
-1.12115437e-06,-6.86406250e-01,-3.21875000e-01
-1.12099437e-06,-6.78500000e-01,-2.20312500e-01
-1.12083438e-06,-6.68437500e-01,-1.19531250e-01
-1.12067438e-06,-6.56218750e-01,-1.20312500e-01
-1.12051437e-06,-6.44000000e-01,-1.66406250e-01
-1.12035437e-06,-6.30343750e-01,-2.08593750e-01
-1.12019437e-06,-6.17406250e-01,-2.71093750e-01
-1.12003437e-06,-6.03750000e-01,-2.89843750e-01
-1.11987437e-06,-5.90093750e-01,-2.15625000e-01
-1.11971438e-06,-5.75718750e-01,-1.53906250e-01
-1.11955438e-06,-5.60625000e-01,-2.30468750e-01
-1.11939437e-06,-5.44093750e-01,-2.93750000e-01
-1.11923437e-06,-5.27562500e-01,-2.25000000e-01
-1.11907437e-06,-5.11031250e-01,-2.09375000e-01
-1.11891437e-06,-4.94500000e-01,-1.41406250e-01
-1.11875437e-06,-4.79406250e-01,-9.68750000e-02
-1.11859438e-06,-4.67187500e-01,-1.47656250e-01
-1.11843438e-06,-4.56406250e-01,-2.20312500e-01
-1.11827437e-06,-4.48500000e-01,-2.72656250e-01
-1.11811437e-06,-4.42031250e-01,-2.42187500e-01
-1.11795437e-06,-4.35562500e-01,-2.75000000e-01
-1.11779437e-06,-4.30531250e-01,-3.72656250e-01
-1.11763437e-06,-4.23343750e-01,-4.32812500e-01
-1.11747438e-06,-4.14718750e-01,-4.08593750e-01
-1.11731438e-06,-4.03937500e-01,-3.69531250e-01
-1.11715437e-06,-3.91000000e-01,-3.46093750e-01
-1.11699437e-06,-3.76625000e-01,-3.28906250e-01
-1.11683437e-06,-3.63687500e-01,-3.36718750e-01
-1.11667437e-06,-3.50750000e-01,-3.02343750e-01
-1.11651437e-06,-3.39968750e-01,-3.00000000e-01
-1.11635438e-06,-3.31343750e-01,-3.33593750e-01
-1.11619438e-06,-3.23437500e-01,-3.50000000e-01
-1.11603437e-06,-3.17687500e-01,-3.24218750e-01
-1.11587437e-06,-3.11218750e-01,-2.34375000e-01
-1.11571437e-06,-3.04750000e-01,-1.90625000e-01
-1.11555437e-06,-2.97562500e-01,-2.25000000e-01
-1.11539437e-06,-2.90375000e-01,-2.26562500e-01
-1.11523438e-06,-2.83187500e-01,-1.38281250e-01
-1.11507438e-06,-2.77437500e-01,-9.37500000e-02
-1.11491437e-06,-2.73843750e-01,-1.59375000e-01
-1.11475437e-06,-2.73843750e-01,-2.61718750e-01
-1.11459437e-06,-2.76718750e-01,-3.21875000e-01
-1.11443437e-06,-2.84625000e-01,-3.18750000e-01
-1.11427437e-06,-2.94687500e-01,-2.32031250e-01
-1.11411438e-06,-3.07625000e-01,-1.53906250e-01
-1.11395438e-06,-3.21281250e-01,-1.96093750e-01
-1.11379437e-06,-3.36375000e-01,-2.43750000e-01
-1.11363437e-06,-3.50750000e-01,-2.92187500e-01
-1.11347437e-06,-3.65125000e-01,-3.10156250e-01
-1.11331437e-06,-3.79500000e-01,-2.89062500e-01
-1.11315437e-06,-3.93156250e-01,-2.20312500e-01
-1.11299438e-06,-4.06812500e-01,-2.19531250e-01
-1.11283438e-06,-4.21187500e-01,-2.16406250e-01
-1.11267437e-06,-4.34843750e-01,-2.16406250e-01
-1.11251437e-06,-4.47781250e-01,-2.56250000e-01
-1.11235437e-06,-4.60718750e-01,-2.74218750e-01
-1.11219437e-06,-4.72937500e-01,-3.62500000e-01
-1.11203437e-06,-4.85156250e-01,-4.35937500e-01
-1.11187438e-06,-4.97375000e-01,-4.07812500e-01
-1.11171438e-06,-5.10312500e-01,-3.61718750e-01
-1.11155437e-06,-5.22531250e-01,-3.16406250e-01
-1.11139437e-06,-5.36187500e-01,-3.11718750e-01
-1.11123437e-06,-5.49843750e-01,-2.70312500e-01
-1.11107437e-06,-5.63500000e-01,-2.22656250e-01
-1.11091437e-06,-5.76437500e-01,-2.68750000e-01
-1.11075438e-06,-5.87937500e-01,-2.64843750e-01
-1.11059438e-06,-5.96562500e-01,-2.07812500e-01
-1.11043437e-06,-6.03031250e-01,-2.04687500e-01
-1.11027437e-06,-6.07343750e-01,-2.12500000e-01
-1.11011437e-06,-6.08781250e-01,-2.16406250e-01
-1.10995437e-06,-6.09500000e-01,-2.50000000e-01
-1.10979437e-06,-6.08781250e-01,-2.47656250e-01
-1.10963438e-06,-6.07343750e-01,-2.53125000e-01
-1.10947438e-06,-6.07343750e-01,-2.63281250e-01
-1.10931437e-06,-6.07343750e-01,-2.21875000e-01
-1.10915437e-06,-6.09500000e-01,-1.97656250e-01
-1.10899437e-06,-6.12375000e-01,-1.43750000e-01
-1.10883437e-06,-6.16687500e-01,-1.28125000e-01
-1.10867437e-06,-6.23156250e-01,-1.88281250e-01
-1.10851438e-06,-6.29625000e-01,-2.00781250e-01
-1.10835438e-06,-6.36812500e-01,-2.18750000e-01
-1.10819437e-06,-6.43281250e-01,-3.37500000e-01
